.I d4.txt
ada-95 1 0.2
addit 1 0.2
algol-60 1 0.2
altern 1 0.2
choic 1 0.2
comparison 1 0.2
consist 1 0.2
construct 2 0.4
cours 2 0.4
design 4 0.8
discuss 1 0.2
evalu 1 0.2
examin 1 0.2
exposur 1 0.2
fortran 1 0.2
gain 1 0.2
gener 1 0.2
includ 1 0.2
issu 1 0.2
java 1 0.2
languag 5 1.0
lisp 1 0.2
pascal 1 0.2
program 2 0.4
prolog 1 0.2
rang 1 0.2
student 2 0.4
studi 1 0.2
theoret 1 0.2
understand 1 0.2
varieti 1 0.2
